Long,Lat,Date,BirdID,Fix
-77.9429,18.0459,2/3/17,54,227
-77.9413,18.044,2/3/17,153,228
-77.9405,18.044,2/3/17,46,229
-77.9431,18.0457,2/4/17,54,230
-77.942,18.0469,2/4/17,153,231
-77.9411,18.0448,2/4/17,46,232
-77.9393,18.0421,2/4/17,146,233
-77.9406,18.0402,2/4/17,194,234
-77.938,18.0419,2/4/17,208,235
-77.944,18.0409,2/4/17,174,236
-77.9316,18.0408,2/4/17,89,237
-77.9355,18.0371,2/4/17,114,238
-77.9349,18.0328,2/4/17,302,239
-77.9437,18.0417,2/4/17,128,240
-77.9439,18.0404,2/4/17,174,241
-77.9406,18.0402,2/4/17,194,242
-77.9384,18.043,2/4/17,146,243
-77.9358,18.0393,2/5/17,169,244
-77.935,18.0334,2/5/17,302,246
-77.9318,18.0416,2/5/17,89,247
-77.9361,18.0353,2/5/17,169,248
-77.9349,18.0324,2/5/17,302,249
-77.9347,18.0335,2/5/17,114,250
-77.9354,18.0362,2/5/17,169,251
-77.9324,18.0412,2/5/17,89,252
-77.9358,18.0377,2/5/17,169,253
-77.9319,18.0414,2/5/17,89,254
-77.9349,18.0332,2/5/17,114,255
-77.9358,18.0334,2/5/17,302,256
-77.9319,18.0414,2/5/17,89,257
-77.9415,18.0444,2/5/17,153,258
-77.9415,18.0442,2/5/17,46,259
-77.943,18.046,2/5/17,54,260
-77.9438,18.0401,2/5/17,174,261
-77.9384,18.0406,2/5/17,208,262
-77.9381,18.0417,2/5/17,338,263
-77.9394,18.0422,2/5/17,146,264
-77.9415,18.044,2/5/17,46,265
-77.9434,18.0463,2/5/17,54,266
-77.9428,18.0445,2/5/17,153,267
-77.9395,18.0428,2/5/17,146,268
-77.9381,18.0413,2/5/17,338,269
-77.9405,18.0404,2/5/17,208,270
-77.9416,18.0407,2/5/17,194,271
-77.9432,18.0464,2/5/17,54,272
-77.94,18.0431,2/5/17,146,273
-77.9385,18.0401,2/5/17,338,274
-77.9413,18.0407,2/5/17,208,275
-77.9418,18.0403,2/5/17,194,276
-77.9438,18.041,2/5/17,174,277
-77.9429,18.0468,2/7/17,54,278
-77.9418,18.0445,2/7/17,153,279
